Methods,&,S2R,&,Avg,\\
SO,&,42.45$\pm$0.05,&,42.45,\\
DANCE,&,34.87$\pm$5.29,&,34.87,\\
OVANet,&,\textbf{56.91}$\pm$0.48,&,\textbf{56.91},\\
UniOT,&,39.31$\pm$1.13,&,39.31,\\
