dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
officehome,15,0,UniOT,Product,RealWorld,81.33,86.74,86.22,93.95,87.11
officehome,15,0,UniOT,RealWorld,Art,81.15,86.03,82.32,91.62,82.88
officehome,15,0,UniOT,RealWorld,Clipart,74.19,80.99,79.14,88.41,74.0
officehome,15,0,UniOT,RealWorld,Product,90.19,92.69,91.27,94.83,89.78
visda,6,0,SO,syn,real,56.51,64.49,66.31,72.67,59.14
visda,6,0,DANCE,syn,real,56.42,65.26,66.85,75.19,53.03
visda,6,0,OVANet,syn,real,57.74,62.44,64.83,65.73,53.6
visda,6,0,UniOT,syn,real,64.57,71.56,68.67,72.77,60.66
domainnet,150,0,SO,painting,real,62.53,73.95,77.38,86.94,70.72
domainnet,150,0,SO,painting,sketch,58.6,70.14,70.06,84.49,59.82
domainnet,150,0,SO,real,painting,57.75,68.96,70.57,83.57,61.89
domainnet,150,0,SO,real,sketch,58.98,69.83,69.86,83.0,60.51
domainnet,150,0,SO,sketch,painting,54.96,66.51,68.85,81.61,60.66
domainnet,150,0,SO,sketch,real,60.46,72.74,76.48,85.87,70.4
domainnet,150,0,DANCE,painting,real,62.05,74.04,77.44,87.95,71.43
domainnet,150,0,DANCE,painting,sketch,58.04,70.33,70.19,85.37,62.13
domainnet,150,0,DANCE,real,painting,56.22,68.79,70.45,83.44,63.72
domainnet,150,0,DANCE,real,sketch,58.38,70.63,70.39,84.12,63.89
domainnet,150,0,DANCE,sketch,painting,53.84,67.03,69.22,83.42,63.24
domainnet,150,0,DANCE,sketch,real,59.06,72.22,76.1,86.91,70.69
domainnet,150,0,OVANet,painting,real,78.13,54.47,61.92,83.63,68.15
domainnet,150,0,OVANet,painting,sketch,58.27,67.84,68.51,79.25,55.82
domainnet,150,0,OVANet,real,painting,59.79,67.47,69.53,80.46,59.94
domainnet,150,0,OVANet,real,sketch,54.96,66.35,67.49,78.03,56.97
domainnet,150,0,OVANet,sketch,painting,67.01,54.74,59.95,78.68,58.49
domainnet,150,0,OVANet,sketch,real,80.59,34.07,42.6,83.3,68.39
domainnet,150,0,UniOT,painting,real,68.5,77.1,77.62,87.59,70.9
domainnet,150,0,UniOT,painting,sketch,63.82,71.91,69.74,81.47,59.07
domainnet,150,0,UniOT,real,painting,60.05,70.0,69.75,79.94,60.27
domainnet,150,0,UniOT,real,sketch,65.05,72.78,70.58,81.51,61.74
domainnet,150,0,UniOT,sketch,painting,57.76,68.73,68.8,79.62,58.76
domainnet,150,0,UniOT,sketch,real,66.79,75.3,76.51,86.91,70.9
