Methods,&,A2D,&,A2W,&,D2A,&,D2W,&,W2A,&,W2D,&,Avg,\\
SO,&,88.49$\pm$0.1,&,91.81$\pm$0.21,&,95.35$\pm$0.18,&,99.32$\pm$0.03,&,94.83$\pm$0.18,&,99.88$\pm$0.02,&,94.95,\\
DANCE,&,94.74$\pm$1.76,&,94.2$\pm$0.04,&,\textbf{97.14}$\pm$0.01,&,99.58$\pm$0.0,&,\textbf{96.94}$\pm$0.27,&,\textbf{99.97}$\pm$0.02,&,97.09,\\
OVANet,&,91.89$\pm$0.35,&,94.05$\pm$0.29,&,95.31$\pm$0.41,&,99.42$\pm$0.02,&,94.91$\pm$0.22,&,99.24$\pm$1.05,&,95.8,\\
UniOT,&,93.27$\pm$1.82,&,97.54$\pm$1.0,&,96.7$\pm$0.12,&,\textbf{99.61}$\pm$0.23,&,96.65$\pm$0.07,&,99.44$\pm$0.4,&,97.2,\\
WiSE-FT,&,91.21$\pm$0.07,&,95.19$\pm$0.07,&,96.26$\pm$0.09,&,99.45$\pm$0.02,&,96.13$\pm$0.07,&,99.74$\pm$0.3,&,96.33,\\
CLIP cross-model,&,90.77$\pm$0.27,&,94.46$\pm$0.33,&,96.53$\pm$0.0,&,99.35$\pm$0.0,&,96.13$\pm$0.05,&,99.85$\pm$0.0,&,96.18,\\
CLIP zero-shot,&,\textbf{98.69}$\pm$0.0,&,98.98$\pm$0.0,&,95.38$\pm$0.0,&,98.98$\pm$0.0,&,95.38$\pm$0.0,&,98.69$\pm$0.0,&,97.68,\\
CLIP distillation (Ours),&,98.59$\pm$0.0,&,\textbf{99.19}$\pm$0.0,&,96.05$\pm$0.0,&,99.19$\pm$0.0,&,96.05$\pm$0.0,&,98.59$\pm$0.0,&,\textbf{97.94},\\
