Methods,&,A2C,&,A2P,&,A2R,&,C2A,&,C2P,&,C2R,&,P2A,&,P2C,&,P2R,&,R2A,&,R2C,&,R2P,&,Avg,\\
SO,&,72.07$\pm$0.11,&,87.95$\pm$0.04,&,90.96$\pm$0.04,&,82.19$\pm$0.19,&,88.87$\pm$0.06,&,89.79$\pm$0.08,&,77.21$\pm$0.15,&,69.28$\pm$0.27,&,89.85$\pm$0.09,&,85.55$\pm$0.02,&,75.01$\pm$0.05,&,93.86$\pm$0.07,&,83.55,\\
DANCE,&,71.78$\pm$0.19,&,82.62$\pm$0.23,&,90.46$\pm$0.01,&,81.33$\pm$0.17,&,86.07$\pm$0.11,&,88.24$\pm$0.15,&,72.35$\pm$0.34,&,69.52$\pm$0.17,&,87.54$\pm$0.08,&,84.74$\pm$0.1,&,74.08$\pm$0.08,&,92.16$\pm$0.08,&,81.74,\\
OVANet,&,72.07$\pm$0.12,&,87.99$\pm$0.08,&,90.98$\pm$0.06,&,82.01$\pm$0.14,&,88.78$\pm$0.14,&,89.79$\pm$0.05,&,77.27$\pm$0.07,&,69.14$\pm$0.09,&,89.75$\pm$0.08,&,85.51$\pm$0.16,&,75.22$\pm$0.3,&,93.77$\pm$0.2,&,83.52,\\
UniOT,&,75.48$\pm$0.86,&,91.03$\pm$0.24,&,92.17$\pm$0.23,&,84.97$\pm$0.91,&,90.74$\pm$0.41,&,90.18$\pm$0.09,&,79.06$\pm$1.0,&,73.81$\pm$0.14,&,90.98$\pm$0.13,&,85.87$\pm$0.29,&,77.72$\pm$0.3,&,93.97$\pm$0.39,&,85.5,\\
WiSE-FT,&,76.3$\pm$0.08,&,92.93$\pm$0.03,&,93.61$\pm$0.03,&,87.76$\pm$0.09,&,92.36$\pm$0.07,&,93.02$\pm$0.02,&,82.98$\pm$0.12,&,74.78$\pm$0.08,&,92.4$\pm$0.04,&,88.74$\pm$0.19,&,77.6$\pm$0.08,&,94.86$\pm$0.02,&,87.28,\\
CLIP cross-model,&,75.67$\pm$0.08,&,93.52$\pm$0.07,&,93.33$\pm$0.01,&,86.24$\pm$0.09,&,92.14$\pm$0.02,&,92.33$\pm$0.1,&,82.75$\pm$0.07,&,74.43$\pm$0.12,&,92.39$\pm$0.05,&,88.31$\pm$0.13,&,77.15$\pm$0.12,&,\textbf{95.17}$\pm$0.01,&,86.95,\\
CLIP zero-shot,&,77.69$\pm$0.0,&,94.32$\pm$0.0,&,94.51$\pm$0.0,&,89.82$\pm$0.0,&,94.32$\pm$0.0,&,94.51$\pm$0.0,&,89.82$\pm$0.0,&,77.69$\pm$0.0,&,94.51$\pm$0.0,&,89.82$\pm$0.0,&,77.69$\pm$0.0,&,94.32$\pm$0.0,&,89.08,\\
CLIP distillation (Ours),&,\textbf{78.82}$\pm$0.03,&,\textbf{94.56}$\pm$0.02,&,\textbf{94.87}$\pm$0.01,&,\textbf{90.41}$\pm$0.02,&,\textbf{94.56}$\pm$0.02,&,\textbf{94.87}$\pm$0.01,&,\textbf{90.41}$\pm$0.02,&,\textbf{78.82}$\pm$0.03,&,\textbf{94.87}$\pm$0.01,&,\textbf{90.41}$\pm$0.02,&,\textbf{78.82}$\pm$0.03,&,94.56$\pm$0.02,&,\textbf{89.66},\\
