dataset,n_share,n_source_private,method,source,target,OA,AA,Closed-set OA,Closed-set AA
officehome,65,0,ClipDistill,Art,Product,91.6,91.2,94.84,94.81
officehome,65,0,ClipDistill,Art,RealWorld,89.2,88.01,95.26,94.68
officehome,65,0,ClipDistill,Clipart,Art,75.85,72.89,90.26,88.1
officehome,65,0,ClipDistill,Clipart,Product,91.6,91.2,94.84,94.81
officehome,65,0,ClipDistill,Clipart,RealWorld,89.2,88.01,95.26,94.68
officehome,65,0,ClipDistill,Product,Art,75.85,72.89,90.26,88.1
officehome,65,0,ClipDistill,Product,Clipart,60.02,60.77,80.23,80.39
officehome,65,0,ClipDistill,Product,RealWorld,89.2,88.01,95.26,94.68
officehome,65,0,ClipDistill,RealWorld,Art,75.85,72.89,90.26,88.1
officehome,65,0,ClipDistill,RealWorld,Clipart,60.02,60.77,80.23,80.39
officehome,65,0,ClipDistill,RealWorld,Product,91.6,91.2,94.84,94.81
officehome,65,0,AutoDistill,Art,Clipart,56.85,57.76,72.04,72.78
officehome,65,0,AutoDistill,Art,Product,71.29,71.75,86.9,86.67
officehome,65,0,AutoDistill,Art,RealWorld,77.39,76.13,88.93,88.03
officehome,65,0,AutoDistill,Clipart,Art,58.85,57.26,82.24,80.02
officehome,65,0,AutoDistill,Clipart,Product,72.67,72.31,86.94,86.7
officehome,65,0,AutoDistill,Clipart,RealWorld,69.51,69.0,87.59,87.04
officehome,65,0,AutoDistill,Product,Art,39.65,41.27,75.72,74.04
officehome,65,0,AutoDistill,Product,Clipart,36.92,37.76,66.83,67.01
officehome,65,0,AutoDistill,Product,RealWorld,64.5,63.77,86.7,85.81
officehome,65,0,AutoDistill,RealWorld,Art,65.18,64.42,84.03,81.76
officehome,65,0,AutoDistill,RealWorld,Clipart,55.94,56.21,71.81,72.09
officehome,65,0,AutoDistill,RealWorld,Product,83.39,83.99,92.3,92.24
visda,12,0,SO,syn,real,39.27,42.45,66.98,70.88
visda,12,0,DANCE,syn,real,32.06,34.87,52.94,56.72
visda,12,0,OVANet,syn,real,51.51,56.91,67.0,70.89
visda,12,0,UniOT,syn,real,32.99,39.31,64.22,71.77
visda,12,0,ClipDistill,syn,real,62.29,67.7,86.8,89.69
visda,12,0,AutoDistill,syn,real,16.44,17.38,66.69,70.57
domainnet,345,0,SO,painting,real,57.59,56.91,76.11,75.08
domainnet,345,0,SO,painting,sketch,48.34,48.36,62.71,62.8
domainnet,345,0,SO,real,painting,53.03,50.97,67.28,64.59
domainnet,345,0,SO,real,sketch,47.96,50.08,62.65,65.17
domainnet,345,0,SO,sketch,painting,51.05,49.25,66.89,64.92
domainnet,345,0,SO,sketch,real,55.02,54.4,78.02,77.09
domainnet,345,0,DANCE,painting,real,57.41,56.7,75.62,74.62
domainnet,345,0,DANCE,painting,sketch,49.1,48.93,64.66,64.84
domainnet,345,0,DANCE,real,painting,52.13,50.6,68.6,66.54
domainnet,345,0,DANCE,real,sketch,48.96,50.78,64.89,67.34
domainnet,345,0,DANCE,sketch,painting,50.45,49.03,67.52,65.81
domainnet,345,0,DANCE,sketch,real,54.05,53.51,77.09,76.21
domainnet,345,0,OVANet,painting,real,73.21,71.99,76.16,75.1
domainnet,345,0,OVANet,painting,sketch,48.45,48.15,62.71,62.79
domainnet,345,0,OVANet,real,painting,54.58,52.21,67.28,64.62
domainnet,345,0,OVANet,real,sketch,43.72,45.3,62.75,65.26
domainnet,345,0,OVANet,sketch,painting,62.53,60.43,66.9,64.85
domainnet,345,0,OVANet,sketch,real,76.61,75.43,78.04,77.1
domainnet,345,0,UniOT,painting,real,58.68,59.05,75.8,75.14
domainnet,345,0,UniOT,painting,sketch,49.4,52.93,64.49,65.86
domainnet,345,0,UniOT,real,painting,45.34,50.64,66.91,65.94
domainnet,345,0,UniOT,real,sketch,47.59,53.44,65.24,68.65
