Methods,&,P2R,&,P2S,&,R2P,&,R2S,&,S2P,&,S2R,&,Avg,\\
SO,&,70.57$\pm$0.02,&,62.09$\pm$0.09,&,64.72$\pm$0.15,&,65.34$\pm$0.17,&,59.2$\pm$0.21,&,74.13$\pm$0.04,&,66.01,\\
DANCE,&,72.14$\pm$0.06,&,63.86$\pm$0.13,&,65.17$\pm$0.13,&,67.27$\pm$0.02,&,66.4$\pm$0.05,&,75.36$\pm$0.03,&,68.37,\\
OVANet,&,72.32$\pm$0.16,&,62.88$\pm$0.06,&,65.72$\pm$0.18,&,65.36$\pm$0.02,&,60.15$\pm$0.14,&,75.22$\pm$0.1,&,66.94,\\
UniOT,&,73.72$\pm$0.17,&,61.89$\pm$0.29,&,64.05$\pm$0.18,&,65.77$\pm$0.19,&,62.91$\pm$0.19,&,75.66$\pm$0.22,&,67.33,\\
WiSE-FT,&,77.55$\pm$0.03,&,67.24$\pm$0.08,&,68.76$\pm$0.1,&,68.97$\pm$0.16,&,67.45$\pm$0.11,&,79.97$\pm$0.02,&,71.66,\\
CLIP cross-model,&,78.0$\pm$0.09,&,67.6$\pm$0.15,&,68.62$\pm$0.16,&,68.86$\pm$0.05,&,65.94$\pm$0.11,&,80.14$\pm$0.08,&,71.53,\\
CLIP zero-shot,&,82.0$\pm$0.0,&,68.37$\pm$0.0,&,69.64$\pm$0.0,&,68.37$\pm$0.0,&,69.64$\pm$0.0,&,82.0$\pm$0.0,&,73.34,\\
CLIP distillation (Ours),&,\textbf{84.82}$\pm$0.01,&,\textbf{70.8}$\pm$0.01,&,\textbf{73.33}$\pm$0.02,&,\textbf{70.8}$\pm$0.01,&,\textbf{73.33}$\pm$0.02,&,\textbf{84.82}$\pm$0.01,&,\textbf{76.32},\\
