dataset,n_share,n_source_private,method,step,AA,H-score,H3-score,AUROC,OSCR
office31,10,10,AutoDistill,final,92.1,87.19,85.25,95.97,92.05
officehome,10,5,AutoDistill,final,89.31,87.04,84.1,95.27,92.33
visda,6,3,AutoDistill,final,81.63,84.66,85.04,89.12,82.58
domainnet,150,50,AutoDistill,final,63.24,72.54,72.36,85.1,71.99
