Methods,&,A2D,&,A2W,&,D2A,&,D2W,&,W2A,&,W2D,&,Avg,\\
SO,&,95.12$\pm$0.6,&,97.63$\pm$0.28,&,95.27$\pm$0.05,&,99.44$\pm$0.16,&,94.5$\pm$0.13,&,\textbf{100.0}$\pm$0.0,&,96.99,\\
DANCE,&,76.01$\pm$5.34,&,71.41$\pm$1.31,&,76.55$\pm$2.69,&,91.53$\pm$0.0,&,71.71$\pm$3.41,&,99.36$\pm$0.0,&,81.09,\\
OVANet,&,94.69$\pm$0.6,&,97.18$\pm$0.16,&,95.27$\pm$0.05,&,99.44$\pm$0.16,&,94.43$\pm$0.18,&,100.0$\pm$0.0,&,96.83,\\
UniOT,&,47.56$\pm$2.1,&,48.14$\pm$1.73,&,61.97$\pm$0.63,&,63.73$\pm$2.0,&,58.21$\pm$1.8,&,56.05$\pm$0.52,&,55.94,\\
WiSE-FT,&,\textbf{96.18}$\pm$0.0,&,\textbf{97.74}$\pm$0.16,&,96.31$\pm$0.05,&,\textbf{99.66}$\pm$0.0,&,95.93$\pm$0.09,&,99.58$\pm$0.3,&,97.57,\\
CLIP cross-model,&,96.18$\pm$0.0,&,97.63$\pm$0.28,&,96.35$\pm$0.0,&,99.66$\pm$0.0,&,95.65$\pm$0.05,&,100.0$\pm$0.0,&,\textbf{97.58},\\
CLIP zero-shot,&,95.54$\pm$0.0,&,97.63$\pm$0.0,&,\textbf{96.66}$\pm$0.0,&,97.63$\pm$0.0,&,\textbf{96.66}$\pm$0.0,&,95.54$\pm$0.0,&,96.61,\\
CLIP distillation (Ours),&,95.54$\pm$0.0,&,97.63$\pm$0.0,&,96.66$\pm$0.0,&,97.63$\pm$0.0,&,96.66$\pm$0.0,&,95.54$\pm$0.0,&,96.61,\\
