dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
officehome,10,5,OVANet,Product,RealWorld,0.12,0.17,0.11,0.22,0.41
officehome,10,5,OVANet,RealWorld,Art,0.73,0.8,0.52,0.38,0.2
officehome,10,5,OVANet,RealWorld,Clipart,0.14,0.12,0.09,0.17,0.06
officehome,10,5,OVANet,RealWorld,Product,0.29,0.22,0.15,0.08,0.04
officehome,10,5,UniOT,Art,Clipart,0.97,0.74,0.57,0.54,1.26
officehome,10,5,UniOT,Art,Product,2.91,1.57,0.57,0.98,1.57
officehome,10,5,UniOT,Art,RealWorld,0.56,0.43,0.38,0.48,0.59
officehome,10,5,UniOT,Clipart,Art,0.84,0.37,0.48,0.66,1.08
officehome,10,5,UniOT,Clipart,Product,1.94,2.11,1.54,1.86,2.18
officehome,10,5,UniOT,Clipart,RealWorld,0.27,0.18,0.39,0.48,0.94
officehome,10,5,UniOT,Product,Art,1.15,0.52,0.29,0.75,1.39
officehome,10,5,UniOT,Product,Clipart,2.24,1.85,1.42,1.02,1.81
officehome,10,5,UniOT,Product,RealWorld,0.8,0.49,0.38,0.42,0.79
officehome,10,5,UniOT,RealWorld,Art,0.82,0.61,0.23,0.92,1.21
officehome,10,5,UniOT,RealWorld,Clipart,0.7,0.59,0.34,0.4,0.56
officehome,10,5,UniOT,RealWorld,Product,0.27,0.26,0.21,0.05,0.05
officehome,10,5,ClipDistill,Art,Clipart,0.04,0.04,0.03,0.01,0.06
officehome,10,5,ClipDistill,Art,Product,0.01,0.05,0.04,0.01,0.01
officehome,10,5,ClipDistill,Art,RealWorld,0.01,0.05,0.03,0.0,0.0
officehome,10,5,ClipDistill,Clipart,Art,0.0,0.01,0.01,0.0,0.0
officehome,10,5,ClipDistill,Clipart,Product,0.01,0.05,0.04,0.01,0.01
officehome,10,5,ClipDistill,Clipart,RealWorld,0.01,0.05,0.03,0.0,0.0
officehome,10,5,ClipDistill,Product,Art,0.0,0.01,0.01,0.0,0.0
officehome,10,5,ClipDistill,Product,Clipart,0.05,0.05,0.03,0.01,0.06
officehome,10,5,ClipDistill,Product,RealWorld,0.01,0.05,0.03,0.0,0.0
officehome,10,5,ClipDistill,RealWorld,Art,0.0,0.01,0.01,0.0,0.0
officehome,10,5,ClipDistill,RealWorld,Clipart,0.04,0.04,0.03,0.01,0.06
officehome,10,5,ClipDistill,RealWorld,Product,0.01,0.05,0.04,0.01,0.01
officehome,10,5,AutoDistill,Art,Clipart,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Art,Product,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Art,RealWorld,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Clipart,Art,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Clipart,Product,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Clipart,RealWorld,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Product,Art,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Product,Clipart,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Product,RealWorld,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,RealWorld,Art,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,RealWorld,Clipart,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,RealWorld,Product,nan,nan,nan,nan,nan
visda,6,3,SO,syn,real,0.13,0.11,0.09,0.26,0.12
visda,6,3,DANCE,syn,real,2.97,3.38,2.94,1.98,3.31
visda,6,3,OVANet,syn,real,0.21,1.39,1.18,1.0,0.91
visda,6,3,UniOT,syn,real,5.11,5.32,4.35,2.04,2.1
visda,6,3,ClipDistill,syn,real,0.05,0.05,0.03,0.0,0.02
visda,6,3,AutoDistill,syn,real,nan,nan,nan,nan,nan
domainnet,150,50,SO,painting,real,0.11,0.06,0.04,0.13,0.13
domainnet,150,50,SO,painting,sketch,0.07,0.08,0.05,0.16,0.15
domainnet,150,50,SO,real,painting,0.13,0.1,0.08,0.06,0.09
domainnet,150,50,SO,real,sketch,0.2,0.17,0.11,0.09,0.26
domainnet,150,50,SO,sketch,painting,0.12,0.13,0.1,0.04,0.09
domainnet,150,50,SO,sketch,real,0.09,0.07,0.05,0.05,0.04
domainnet,150,50,DANCE,painting,real,0.04,0.12,0.09,0.32,0.22
domainnet,150,50,DANCE,painting,sketch,0.11,0.17,0.11,0.21,0.14
domainnet,150,50,DANCE,real,painting,0.15,0.05,0.04,0.11,0.07
domainnet,150,50,DANCE,real,sketch,0.3,0.15,0.1,0.11,0.08
domainnet,150,50,DANCE,sketch,painting,0.25,0.08,0.06,0.31,0.2
domainnet,150,50,DANCE,sketch,real,0.13,0.18,0.14,0.22,0.22
domainnet,150,50,OVANet,painting,real,0.15,0.49,0.44,0.06,0.05
domainnet,150,50,OVANet,painting,sketch,0.2,0.02,0.02,0.06,0.09
domainnet,150,50,OVANet,real,painting,0.11,0.19,0.14,0.26,0.14
domainnet,150,50,OVANet,real,sketch,0.02,0.1,0.07,0.08,0.12
domainnet,150,50,OVANet,sketch,painting,0.16,0.41,0.34,0.29,0.2
domainnet,150,50,OVANet,sketch,real,0.09,0.45,0.49,0.14,0.08
domainnet,150,50,UniOT,painting,real,0.19,0.28,0.18,0.49,0.33
domainnet,150,50,UniOT,painting,sketch,0.15,0.16,0.08,0.13,0.19
domainnet,150,50,UniOT,real,painting,0.25,0.07,0.04,0.32,0.16
domainnet,150,50,UniOT,real,sketch,0.38,0.18,0.2,0.09,0.42
domainnet,150,50,UniOT,sketch,painting,0.48,0.43,0.26,0.29,0.45
domainnet,150,50,UniOT,sketch,real,0.12,0.04,0.11,0.34,0.18
domainnet,150,50,ClipDistill,painting,real,0.03,0.01,0.01,0.03,0.01
domainnet,150,50,ClipDistill,painting,sketch,0.08,0.07,0.05,0.02,0.06
domainnet,150,50,ClipDistill,real,painting,0.04,0.04,0.03,0.02,0.05
domainnet,150,50,ClipDistill,real,sketch,0.08,0.07,0.05,0.02,0.06
domainnet,150,50,ClipDistill,sketch,painting,0.04,0.04,0.03,0.02,0.05
domainnet,150,50,ClipDistill,sketch,real,0.03,0.01,0.01,0.03,0.01
domainnet,150,50,AutoDistill,painting,real,nan,nan,nan,nan,nan
domainnet,150,50,AutoDistill,painting,sketch,nan,nan,nan,nan,nan
domainnet,150,50,AutoDistill,real,painting,nan,nan,nan,nan,nan
domainnet,150,50,AutoDistill,real,sketch,nan,nan,nan,nan,nan
domainnet,150,50,AutoDistill,sketch,painting,nan,nan,nan,nan,nan
domainnet,150,50,AutoDistill,sketch,real,nan,nan,nan,nan,nan
