dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
officehome,10,5,UniOT,Product,Art,78.49,83.8,81.57,88.37,80.53
officehome,10,5,UniOT,Product,Clipart,71.24,77.44,77.13,84.23,67.28
officehome,10,5,UniOT,Product,RealWorld,88.24,90.22,88.16,95.21,90.8
officehome,10,5,UniOT,RealWorld,Art,82.39,85.65,82.32,88.8,78.69
officehome,10,5,UniOT,RealWorld,Clipart,76.05,81.24,79.47,87.51,71.56
officehome,10,5,UniOT,RealWorld,Product,97.29,95.29,92.94,98.81,98.2
officehome,10,5,ClipDistill,Art,Clipart,83.06,82.27,80.52,88.21,81.9
officehome,10,5,ClipDistill,Art,Product,95.35,81.09,83.72,96.65,95.88
officehome,10,5,ClipDistill,Art,RealWorld,96.31,87.71,87.02,98.14,97.54
officehome,10,5,ClipDistill,Clipart,Art,91.93,90.54,86.57,96.85,95.52
officehome,10,5,ClipDistill,Clipart,Product,95.35,81.09,83.72,96.65,95.88
officehome,10,5,ClipDistill,Clipart,RealWorld,96.31,87.71,87.02,98.14,97.54
officehome,10,5,ClipDistill,Product,Art,91.93,90.54,86.57,96.85,95.52
officehome,10,5,ClipDistill,Product,Clipart,83.06,82.28,80.53,88.21,81.9
officehome,10,5,ClipDistill,Product,RealWorld,96.31,87.71,87.02,98.14,97.54
officehome,10,5,ClipDistill,RealWorld,Art,91.93,90.54,86.57,96.85,95.52
officehome,10,5,ClipDistill,RealWorld,Clipart,83.06,82.27,80.52,88.21,81.9
officehome,10,5,ClipDistill,RealWorld,Product,95.35,81.09,83.72,96.65,95.88
officehome,10,5,AutoDistill,Art,Clipart,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Art,Product,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Art,RealWorld,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Clipart,Art,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Clipart,Product,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Clipart,RealWorld,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Product,Art,nan,nan,nan,nan,nan
