Methods,&,S2R,&,Avg,\\
SO,&,71.17$\pm$0.21,&,71.17,\\
DANCE,&,63.45$\pm$0.07,&,63.45,\\
OVANet,&,66.45$\pm$0.03,&,66.45,\\
UniOT,&,78.8$\pm$0.8,&,78.8,\\
WiSE-FT,&,77.88$\pm$0.18,&,77.88,\\
CLIP cross-model,&,79.06$\pm$0.17,&,79.06,\\
CLIP zero-shot,&,82.86$\pm$0.0,&,82.86,\\
CLIP distillation (Ours),&,\textbf{86.84}$\pm$0.0,&,\textbf{86.84},\\
