Methods,&,S2R,&,Avg,\\
SO,&,76.9$\pm$0.09,&,76.9,\\
DANCE,&,75.86$\pm$0.07,&,75.86,\\
OVANet,&,47.2$\pm$0.2,&,47.2,\\
UniOT,&,\textbf{78.17}$\pm$0.49,&,\textbf{78.17},\\
