dataset,n_share,n_source_private,method,OA,AA,Closed-set OA,Closed-set AA
office31,10,21,AutoDistill,92.45,93.31,95.89,96.36
officehome,25,40,AutoDistill,79.52,79.32,89.45,88.51
visda,6,6,AutoDistill,66.49,75.98,88.08,92.6
domainnet,150,195,AutoDistill,64.81,64.49,81.34,80.91
