dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
officehome,10,5,UniOT,Product,Art,77.47,75.82,69.21,81.97,68.89
officehome,10,5,UniOT,Product,Clipart,61.65,65.87,58.94,73.35,47.06
officehome,10,5,UniOT,Product,RealWorld,90.71,85.07,79.31,92.85,89.51
officehome,10,5,UniOT,RealWorld,Art,80.8,76.61,68.95,85.72,75.29
officehome,10,5,UniOT,RealWorld,Clipart,61.84,64.8,58.33,75.36,51.6
officehome,10,5,UniOT,RealWorld,Product,86.02,80.6,78.23,92.45,84.75
officehome,10,5,ClipDistill,Art,Clipart,86.55,79.01,74.59,90.42,83.14
officehome,10,5,ClipDistill,Art,Product,94.51,75.22,78.21,97.58,96.51
officehome,10,5,ClipDistill,Art,RealWorld,96.19,80.36,80.84,98.54,98.05
officehome,10,5,ClipDistill,Clipart,Art,93.93,86.42,80.63,96.73,94.45
officehome,10,5,ClipDistill,Clipart,Product,94.49,75.01,78.31,97.54,96.46
officehome,10,5,ClipDistill,Clipart,RealWorld,96.16,80.4,80.76,98.55,98.07
officehome,10,5,ClipDistill,Product,Art,93.78,86.22,80.5,96.76,94.36
officehome,10,5,ClipDistill,Product,Clipart,86.71,79.25,74.94,90.5,83.19
officehome,10,5,ClipDistill,Product,RealWorld,96.15,80.59,80.76,98.52,97.95
officehome,10,5,ClipDistill,RealWorld,Art,94.0,86.46,80.57,96.66,94.31
officehome,10,5,ClipDistill,RealWorld,Clipart,86.74,79.37,75.08,90.53,83.07
officehome,10,5,ClipDistill,RealWorld,Product,94.47,74.91,78.06,97.58,96.51
officehome,10,5,AutoDistill,Art,Clipart,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Art,Product,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Art,RealWorld,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Clipart,Art,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Clipart,Product,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Clipart,RealWorld,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Product,Art,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Product,Clipart,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Product,RealWorld,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,RealWorld,Art,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,RealWorld,Clipart,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,RealWorld,Product,nan,nan,nan,nan,nan
visda,6,3,SO,syn,real,39.79,30.33,34.92,48.88,24.59
visda,6,3,DANCE,syn,real,66.42,2.78,4.04,56.95,44.13
visda,6,3,OVANet,syn,real,37.89,44.57,45.91,61.27,36.26
visda,6,3,UniOT,syn,real,47.78,54.48,46.01,62.21,41.29
visda,6,3,ClipDistill,syn,real,85.33,84.87,80.68,89.71,83.79
visda,6,3,AutoDistill,syn,real,nan,nan,nan,nan,nan
domainnet,150,50,SO,painting,real,57.01,42.24,47.97,71.23,43.03
domainnet,150,50,SO,painting,sketch,36.26,40.84,40.92,64.75,25.57
domainnet,150,50,SO,real,painting,44.38,45.31,47.43,67.78,36.19
