dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
officehome,10,5,OVANet,Product,Clipart,38.24,48.52,47.82,69.73,45.41
officehome,10,5,OVANet,Product,RealWorld,86.09,84.9,78.27,93.14,88.72
officehome,10,5,OVANet,RealWorld,Art,72.22,77.18,68.37,83.63,67.27
officehome,10,5,OVANet,RealWorld,Clipart,43.48,54.31,51.42,70.29,46.34
officehome,10,5,OVANet,RealWorld,Product,85.14,80.67,81.07,89.5,82.48
officehome,10,5,UniOT,Art,Clipart,63.29,69.88,63.32,81.04,58.59
officehome,10,5,UniOT,Art,Product,88.22,86.13,84.77,94.21,88.19
officehome,10,5,UniOT,Art,RealWorld,93.3,89.19,83.32,96.83,94.91
officehome,10,5,UniOT,Clipart,Art,75.23,75.93,68.61,82.86,70.3
officehome,10,5,UniOT,Clipart,Product,80.47,80.1,79.88,89.84,82.04
officehome,10,5,UniOT,Clipart,RealWorld,87.38,83.88,78.07,93.24,88.8
officehome,10,5,UniOT,Product,Art,71.67,74.67,68.35,80.68,65.88
officehome,10,5,UniOT,Product,Clipart,63.47,69.71,63.02,79.09,58.73
officehome,10,5,UniOT,Product,RealWorld,88.91,87.27,81.81,94.7,91.6
officehome,10,5,UniOT,RealWorld,Art,75.77,78.53,71.28,82.39,66.52
officehome,10,5,UniOT,RealWorld,Clipart,61.5,67.75,62.16,80.01,57.82
officehome,10,5,UniOT,RealWorld,Product,89.74,86.45,84.91,94.27,89.48
officehome,10,5,ClipZeroShot,Art,Clipart,37.16,47.18,46.94,76.89,60.11
officehome,10,5,ClipZeroShot,Art,Product,84.76,88.84,86.39,94.21,89.81
officehome,10,5,ClipZeroShot,Art,RealWorld,85.64,89.69,80.92,92.68,91.47
officehome,10,5,ClipZeroShot,Clipart,Art,54.89,66.76,62.59,87.44,80.77
officehome,10,5,ClipZeroShot,Clipart,Product,84.76,88.84,86.39,94.21,89.81
officehome,10,5,ClipZeroShot,Clipart,RealWorld,85.64,89.69,80.92,92.68,91.47
officehome,10,5,ClipZeroShot,Product,Art,54.89,66.76,62.59,87.44,80.77
officehome,10,5,ClipZeroShot,Product,Clipart,37.16,47.18,46.94,76.89,60.11
officehome,10,5,ClipZeroShot,Product,RealWorld,85.64,89.69,80.92,92.68,91.47
officehome,10,5,ClipZeroShot,RealWorld,Art,54.89,66.76,62.59,87.44,80.77
officehome,10,5,ClipZeroShot,RealWorld,Clipart,37.16,47.18,46.94,76.89,60.11
officehome,10,5,ClipZeroShot,RealWorld,Product,84.76,88.84,86.39,94.21,89.81
officehome,10,5,ClipCrossModel,Art,Clipart,49.81,57.89,53.51,69.2,40.43
officehome,10,5,ClipCrossModel,Art,Product,84.85,70.99,74.28,90.32,82.45
officehome,10,5,ClipCrossModel,Art,RealWorld,93.5,79.5,75.13,94.45,92.51
officehome,10,5,ClipCrossModel,Clipart,Art,71.06,76.77,68.15,85.45,73.01
officehome,10,5,ClipCrossModel,Clipart,Product,80.44,75.27,77.35,88.97,81.0
officehome,10,5,ClipCrossModel,Clipart,RealWorld,89.27,84.34,77.95,93.72,90.18
officehome,10,5,ClipCrossModel,Product,Art,70.43,76.73,68.13,85.8,68.0
officehome,10,5,ClipCrossModel,Product,Clipart,50.42,61.15,55.32,72.34,49.15
officehome,10,5,ClipCrossModel,Product,RealWorld,91.4,83.57,77.51,94.45,91.48
officehome,10,5,ClipCrossModel,RealWorld,Art,75.92,77.91,68.75,86.72,72.76
officehome,10,5,ClipCrossModel,RealWorld,Clipart,53.57,62.99,56.31,72.05,49.46
officehome,10,5,ClipCrossModel,RealWorld,Product,87.39,74.32,76.68,91.72,85.44
visda,6,3,SO,syn,real,64.22,55.3,59.27,65.82,55.35
visda,6,3,DANCE,syn,real,60.53,50.29,54.66,61.57,48.81
visda,6,3,OVANet,syn,real,46.07,53.15,57.6,57.23,48.08
visda,6,3,UniOT,syn,real,58.14,62.27,59.74,63.62,48.29
visda,6,3,ClipZeroShot,syn,real,56.66,65.84,66.93,79.43,71.36
visda,6,3,ClipCrossModel,syn,real,70.62,65.66,66.8,75.48,66.38
domainnet,150,50,SO,painting,real,48.58,57.23,62.43,69.4,45.75
domainnet,150,50,SO,painting,sketch,22.82,35.82,38.86,64.0,28.28
domainnet,150,50,SO,real,painting,31.58,45.64,48.92,67.23,38.47
domainnet,150,50,SO,real,sketch,24.09,37.3,40.0,64.74,31.98
domainnet,150,50,SO,sketch,painting,26.27,39.29,43.85,64.15,32.39
domainnet,150,50,SO,sketch,real,49.1,58.34,63.31,69.59,47.15
domainnet,150,50,DANCE,painting,real,49.18,57.08,62.31,68.55,45.71
domainnet,150,50,DANCE,painting,sketch,23.01,36.12,39.09,64.97,31.01
domainnet,150,50,DANCE,real,painting,29.31,43.86,47.54,68.23,41.36
domainnet,150,50,DANCE,real,sketch,22.44,35.5,38.6,65.99,35.48
domainnet,150,50,DANCE,sketch,painting,25.5,39.16,43.75,67.08,38.43
domainnet,150,50,DANCE,sketch,real,48.81,57.85,62.92,69.01,46.81
domainnet,150,50,OVANet,painting,real,53.93,60.78,65.2,74.4,48.78
domainnet,150,50,OVANet,painting,sketch,26.63,40.14,42.13,64.52,28.57
domainnet,150,50,OVANet,real,painting,35.85,49.97,52.15,70.04,39.93
domainnet,150,50,OVANet,real,sketch,28.15,41.87,43.39,64.89,32.03
domainnet,150,50,OVANet,sketch,painting,32.71,45.36,48.71,67.67,33.94
domainnet,150,50,OVANet,sketch,real,56.4,60.66,65.11,73.58,50.01
domainnet,150,50,UniOT,painting,real,56.05,65.1,67.68,73.48,51.67
domainnet,150,50,UniOT,painting,sketch,38.31,50.69,50.14,65.87,32.64
domainnet,150,50,UniOT,real,painting,42.03,54.0,55.11,67.67,39.11
domainnet,150,50,UniOT,real,sketch,41.78,53.46,52.32,66.59,35.96
domainnet,150,50,UniOT,sketch,painting,36.35,49.11,51.55,65.23,34.26
domainnet,150,50,UniOT,sketch,real,55.9,64.83,67.73,72.59,51.72
domainnet,150,50,ClipZeroShot,painting,real,0.73,0.14,0.22,80.34,67.2
domainnet,150,50,ClipZeroShot,painting,sketch,0.73,0.14,0.22,70.39,42.35
domainnet,150,50,ClipZeroShot,real,painting,0.67,0.01,0.02,69.96,46.64
domainnet,150,50,ClipZeroShot,real,sketch,0.73,0.14,0.22,70.39,42.35
domainnet,150,50,ClipZeroShot,sketch,painting,0.67,0.01,0.02,69.96,46.64
domainnet,150,50,ClipZeroShot,sketch,real,0.73,0.14,0.22,80.34,67.2
domainnet,150,50,ClipCrossModel,painting,real,48.61,60.69,65.13,74.78,53.57
domainnet,150,50,ClipCrossModel,painting,sketch,21.04,33.73,37.19,66.34,32.85
domainnet,150,50,ClipCrossModel,real,painting,27.15,41.48,45.65,70.15,42.77
domainnet,150,50,ClipCrossModel,real,sketch,21.01,33.68,37.15,67.33,35.71
domainnet,150,50,ClipCrossModel,sketch,painting,24.61,38.23,42.97,67.74,38.35
domainnet,150,50,ClipCrossModel,sketch,real,50.49,62.87,66.79,76.09,57.22
