Methods,&,S2R,&,Avg,\\
SO,&,69.85$\pm$0.11,&,69.85,\\
DANCE,&,71.9$\pm$0.09,&,71.9,\\
OVANet,&,59.47$\pm$0.33,&,59.47,\\
UniOT,&,\textbf{79.1}$\pm$0.58,&,\textbf{79.1},\\
