dataset,n_share,n_source_private,method,step,OA,AA,Closed-set OA,Closed-set AA
office31,31,0,AutoDistill,final,82.64,82.0,87.35,87.11
officehome,65,0,AutoDistill,final,77.86,76.95,89.17,88.5
visda,12,0,AutoDistill,final,63.64,68.83,87.56,90.25
domainnet,345,0,AutoDistill,final,60.85,58.82,79.58,78.56
